Route ID,Route Name,Network ID,Route Length (miles),Sequence,Link ID,Link Length (miles),Distance Along Route (miles),Street Name,Speed Limit (mph),From Cross Street,To Cross Street,From Distance Marker (miles),To Distance Marker (miles),Feed ID,Source Reference,Source ID
7418,1 - D460 (SB),S221R2,12.110785767140788,1,1313222831,0.004898873718118313,0, (NE),25.0,,,,,hereA0116,DLR,1313222831
7418,1 - D460 (SB),S221R2,12.110785767140788,2,1313222832,0.018107191792019726,0.004898873718118313, (E),25.0,,W 770 S,,,hereA0116,DLR,1313222832
7418,1 - D460 (SB),S221R2,12.110785767140788,3,-866239133,0.12490211575229235,0.02300606551013804,S 800 W (S),30.0,W 770 S,,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,4,-866239132,0.031051914102122158,0.14790818126243038,S 800 W (S),30.0,,W 1000 S,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,5,-753937023,0.03864237859957806,0.17896009536455254,S 800 W (S),30.0,W 1000 S,,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,6,-753937022,0.025536940991908272,0.2176024739641306,S 800 W (S),30.0,,W 1100 S,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,7,-32061496,0.04347582357255078,0.24313941495603886,S 800 W (S),30.0,W 1100 S,W 1175 S,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,8,-1192638332,0.02208135366900218,0.2866152385285896,S 800 W (S),30.0,W 1175 S,,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,9,-1192638331,0.045545799695939346,0.30869659219759177,S 800 W (S),30.0,,W 1300 S,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,10,-1315149472,0.038642361526250495,0.35424239189353113,S 800 W (S),30.0,W 1300 S,,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,11,-1315149471,0.020011221453486796,0.39288475341978163,S 800 W (S),30.0,,W 1400 S,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,12,-1313222277,0.039332397847075505,0.4128959748732684,S 800 W (S),30.0,W 1400 S,,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,13,-1313222276,0.0476157783250193,0.4522283727203439,S 800 W (S),30.0,,W 1500 S,,,hereA0116,TMC,116-09574
7418,1 - D460 (SB),S221R2,12.110785767140788,14,-32124274,0.12008819817360765,0.49984415104536317,S 800 W (S),30.0,W 1500 S,W 1700 S,,,hereA0116,TMC,116-09573
7418,1 - D460 (SB),S221R2,12.110785767140788,15,-32091688,0.046925759119325124,0.6199323492189708,S 800 W (S),30.0,W 1700 S,BERKSHIRE RD,,,hereA0116,TMC,116-09573
7418,1 - D460 (SB),S221R2,12.110785767140788,16,-32091725,0.05520332895887761,0.666858108338296,S 800 W (S),30.0,BERKSHIRE RD,W 1900 S,,,hereA0116,TMC,116-09573
