ROUTE,DIR,period,STOP,StopAbbr,StopName,Timepoint,NodeAbbr,Lon,Lat,Avgmph,Avgmphdwell
35M,0,off-peak,15,133022,8400 W / 3410 S (NB),FALSE,,-112.091691,40.697648,18.22,18.21
35M,0,off-peak,16,133023,8400 W / Myron Ave (NB),FALSE,,-112.091749,40.700639,30.52,29.63
35M,0,off-peak,17,133005,8400 W / Aleen Ave (NB),FALSE,,-112.091754,40.702261,23.66,22.65
35M,0,off-peak,18,133102,8400 W / 3100 S (NB),FALSE,,-112.091736,40.704635,27.58,27.58
35M,0,off-peak,19,133025,8400 W / Robin St (NB),FALSE,,-112.091721,40.705946,26.76,25.00
35M,0,off-peak,20,133026,8400 W / 2910 S (NB),FALSE,,-112.091721,40.707521,23.45,23.45
35M,0,off-peak,21,133027,8400 W / Western Dr (NB),FALSE,,-112.091731,40.708911,15.02,13.99
35M,0,off-peak,22,198469,Magna Post Office,FALSE,,-112.093729,40.711244,16.59,16.01
35M,0,off-peak,23,198528,Magna Main St / 8590 W (WB),FALSE,27-S84-W,-112.097059,40.711166,22.81,22.37
35M,0,off-peak,24,132003,Magna Main St / 8700 W (WB),FALSE,,-112.100059,40.711156,21.07,20.12
35M,0,off-peak,25,132004,Magna Main St / 8800 W (WB),FALSE,,-112.101634,40.711131,18.40,15.10
35M,0,off-peak,26,198113,Magna Library,FALSE,,-112.104864,40.711049,13.36,13.25
35M,0,off-peak,27,132007,Magna Main St / 9040 W (WB),FALSE,,-112.106928,40.711031,15.31,14.70
35M,0,off-peak,28,132009,9150 W / Magna Main St (SB),FALSE,27509150,-112.109524,40.710641,21.64,20.82
35M,0,off-peak,29,132011,9150 W / 2900 S (SB),FALSE,,-112.109442,40.707014,20.29,19.51
35M,0,off-peak,30,132012,9150 W / 3000 S (SB),FALSE,,-112.109419,40.705766,11.02,10.58
35M,0,off-peak,31,NA101472,3100 S @ 9196 W,FALSE,,-112.110138,40.703808,23.35,21.58
35M,0,off-peak,32,NA101437,3500 S @ 8927 W,FALSE,,-112.104484,40.696489,28.69,28.24
35M,0,off-peak,33,NA101700,3500 S @ 8535 W,FALSE,,-112.095082,40.696446,12.93,9.54
35M,0,off-peak,34,133029,3500 S / 8400 W (EB),TRUE,35-S84-W,-112.091248,40.696376,0.00,0.00
35M,0,pm peak,1,BB136023,Millcreek Station (Bay A),TRUE,MILLCREK,-111.897116,40.701104,16.17,15.42
35M,0,pm peak,2,136211,3300 S @ 984 W,FALSE,,-111.919459,40.699565,30.63,24.31
35M,0,pm peak,3,101398,3300 S @ 1226 W,FALSE,,-111.926431,40.699538,23.20,17.06
35M,0,pm peak,4,136218,3500 S @ 1720 W,FALSE,35-SRDWD,-111.939559,40.696749,15.15,12.91
35M,0,pm peak,5,135243,3500 S @ 2040 W,FALSE,,-111.945611,40.696773,13.75,10.44
35M,0,pm peak,6,BB101591,West Valley Central Station (Bay E),FALSE,WVCNTRAX,-111.960099,40.693664,9.83,8.92
35M,0,pm peak,7,101629,3500 S / 3600 W (Curbside WB),FALSE,,-111.978464,40.696739,9.31,6.70
35M,0,pm peak,8,135245,3500 S / 4000 W (WB),FALSE,35-S40-W,-111.985846,40.69673,20.68,17.83
35M,0,pm peak,9,134152,3500 S / 4800 W (WB),FALSE,,-112.006412,40.696659,15.68,12.64
35M,0,pm peak,10,134040,3500 S / 5600 W (WB),FALSE,,-112.025773,40.696637,20.75,17.93
35M,0,pm peak,11,133054,3500 S / 6400 W (WB),FALSE,,-112.045255,40.696599,23.90,18.81
35M,0,pm peak,12,101399,3500 S / 7200 W (WB),FALSE,35-S72-W,-112.064573,40.696578,24.16,19.56
35M,0,pm peak,13,101400,3500 S / 8000 W (WB),FALSE,,-112.082856,40.696611,20.87,15.00
35M,0,pm peak,15,133022,8400 W / 3410 S (NB),FALSE,,-112.091691,40.697648,17.41,17.33
35M,0,pm peak,16,133023,8400 W / Myron Ave (NB),FALSE,,-112.091749,40.700639,28.17,27.58
35M,0,pm peak,17,133005,8400 W / Aleen Ave (NB),FALSE,,-112.091754,40.702261,22.77,22.05
35M,0,pm peak,18,133102,8400 W / 3100 S (NB),FALSE,,-112.091736,40.704635,29.08,29.01
35M,0,pm peak,19,133025,8400 W / Robin St (NB),FALSE,,-112.091721,40.705946,27.00,25.82
35M,0,pm peak,20,133026,8400 W / 2910 S (NB),FALSE,,-112.091721,40.707521,21.49,21.37
35M,0,pm peak,21,133027,8400 W / Western Dr (NB),FALSE,,-112.091731,40.708911,10.60,9.83
35M,0,pm peak,22,198469,Magna Post Office,FALSE,,-112.093729,40.711244,18.39,17.54
35M,0,pm peak,23,198528,Magna Main St / 8590 W (WB),FALSE,27-S84-W,-112.097059,40.711166,22.11,20.82
35M,0,pm peak,24,132003,Magna Main St / 8700 W (WB),FALSE,,-112.100059,40.711156,18.17,17.37
35M,0,pm peak,25,132004,Magna Main St / 8800 W (WB),FALSE,,-112.101634,40.711131,19.21,15.90
35M,0,pm peak,26,198113,Magna Library,FALSE,,-112.104864,40.711049,14.26,13.75
35M,0,pm peak,27,132007,Magna Main St / 9040 W (WB),FALSE,,-112.106928,40.711031,13.97,12.98
35M,0,pm peak,28,132009,9150 W / Magna Main St (SB),FALSE,27509150,-112.109524,40.710641,22.73,21.87
35M,0,pm peak,29,132011,9150 W / 2900 S (SB),FALSE,,-112.109442,40.707014,21.95,20.74
35M,0,pm peak,30,132012,9150 W / 3000 S (SB),FALSE,,-112.109419,40.705766,11.65,8.53
35M,0,pm peak,31,NA101472,3100 S @ 9196 W,FALSE,,-112.110138,40.703808,22.58,21.36
35M,0,pm peak,32,NA101437,3500 S @ 8927 W,FALSE,,-112.104484,40.696489,30.55,30.13
35M,0,pm peak,33,NA101700,3500 S @ 8535 W,FALSE,,-112.095082,40.696446,8.61,1.27
35M,0,pm peak,34,133029,3500 S / 8400 W (EB),TRUE,35-S84-W,-112.091248,40.696376,0.00,0.00
35M,1,am peak,1,101412,3500 S / 8400 W (WB),TRUE,35-S84-W,-112.090815,40.696619,5.77,5.77
35M,1,am peak,2,133022,8400 W / 3410 S (NB),FALSE,,-112.091691,40.697648,25.99,25.24
35M,1,am peak,3,133023,8400 W / Myron Ave (NB),FALSE,,-112.091749,40.700639,21.97,21.80
35M,1,am peak,4,133005,8400 W / Aleen Ave (NB),FALSE,,-112.091754,40.702261,22.16,21.75
35M,1,am peak,5,133102,8400 W / 3100 S (NB),FALSE,,-112.091736,40.704635,27.05,27.05
35M,1,am peak,6,133025,8400 W / Robin St (NB),FALSE,,-112.091721,40.705946,28.99,28.82
35M,1,am peak,7,133026,8400 W / 2910 S (NB),FALSE,,-112.091721,40.707521,23.27,22.81
35M,1,am peak,8,133027,8400 W / Western Dr (NB),FALSE,,-112.091731,40.708911,13.44,12.57
35M,1,am peak,9,198469,Magna Post Office,FALSE,,-112.093729,40.711244,19.99,18.91
35M,1,am peak,10,198528,Magna Main St / 8590 W (WB),FALSE,27-S84-W,-112.097059,40.711166,21.12,19.37
35M,1,am peak,11,132003,Magna Main St / 8700 W (WB),FALSE,,-112.100059,40.711156,22.03,21.40
35M,1,am peak,12,132004,Magna Main St / 8800 W (WB),FALSE,,-112.101634,40.711131,22.25,19.93
35M,1,am peak,13,198113,Magna Library,FALSE,,-112.104864,40.711049,19.61,18.27
35M,1,am peak,14,132007,Magna Main St / 9040 W (WB),FALSE,,-112.106928,40.711031,15.32,14.80
35M,1,am peak,15,132009,9150 W / Magna Main St (SB),FALSE,27509150,-112.109524,40.710641,25.04,24.92
35M,1,am peak,16,132011,9150 W / 2900 S (SB),FALSE,,-112.109442,40.707014,24.97,24.03
35M,1,am peak,17,132012,9150 W / 3000 S (SB),FALSE,,-112.109419,40.705766,12.68,11.26
35M,1,am peak,18,NA101472,3100 S @ 9196 W,FALSE,,-112.110138,40.703808,24.23,23.11
35M,1,am peak,19,NA101437,3500 S @ 8927 W,FALSE,,-112.104484,40.696489,23.18,18.61
35M,1,am peak,20,NA101700,3500 S @ 8535 W,FALSE,,-112.095082,40.696446,18.97,14.98
35M,1,am peak,22,101431,3500 S / 8000 W (EB),FALSE,,-112.082761,40.696406,26.82,20.57
35M,1,am peak,23,133048,3500 S / 7200 W (EB),FALSE,35-S72-W,-112.064376,40.696412,23.52,19.61
35M,1,am peak,24,101401,3500 S / 6400 W (EB),FALSE,,-112.043027,40.696452,17.08,14.66
35M,1,am peak,25,101402,3500 S / 5600 W (EB),FALSE,35-S56-W,-112.023298,40.696481,25.37,21.32
35M,1,am peak,26,101414,3500 S / 4800 W (EB),FALSE,,-112.004686,40.696494,17.92,14.89
35M,1,am peak,27,135271,3500 S / 4000 W (EB),FALSE,35-S40-W,-111.985301,40.696503,11.92,10.40
35M,1,am peak,28,101622,3500 S / 3600 W (Curbside EB),FALSE,,-111.976034,40.696456,18.92,15.01
35M,1,am peak,29,BB101591,West Valley Central Station (Bay E),FALSE,WVCNTRAX,-111.960099,40.693664,14.27,13.63
35M,1,am peak,30,101450,3500 S @ 2223 W,FALSE,,-111.947677,40.696551,25.27,19.33
35M,1,am peak,31,136201,3500 S @ 1685 W,FALSE,35-SRDWD,-111.937859,40.696508,28.34,25.65
35M,1,am peak,32,101403,3300 S @ 1219 W,FALSE,,-111.926041,40.699323,29.29,26.58
35M,1,am peak,33,136200,3300 S @ 889 W,FALSE,,-111.916345,40.699276,15.95,8.50
35M,1,am peak,34,BB136023,Millcreek Station (Bay A),TRUE,MILLCREK,-111.897116,40.701104,0.00,0.00
35M,1,midday,1,101412,3500 S / 8400 W (WB),TRUE,35-S84-W,-112.090815,40.696619,7.48,7.47
35M,1,midday,2,133022,8400 W / 3410 S (NB),FALSE,,-112.091691,40.697648,32.80,32.43
35M,1,midday,3,133023,8400 W / Myron Ave (NB),FALSE,,-112.091749,40.700639,31.04,30.75
35M,1,midday,4,133005,8400 W / Aleen Ave (NB),FALSE,,-112.091754,40.702261,23.58,23.13
35M,1,midday,5,133102,8400 W / 3100 S (NB),FALSE,,-112.091736,40.704635,31.88,31.78
35M,1,midday,6,133025,8400 W / Robin St (NB),FALSE,,-112.091721,40.705946,30.39,29.21
35M,1,midday,7,133026,8400 W / 2910 S (NB),FALSE,,-112.091721,40.707521,23.63,23.52
35M,1,midday,8,133027,8400 W / Western Dr (NB),FALSE,,-112.091731,40.708911,14.98,13.42
35M,1,midday,9,198469,Magna Post Office,FALSE,,-112.093729,40.711244,21.37,20.50
35M,1,midday,10,198528,Magna Main St / 8590 W (WB),FALSE,27-S84-W,-112.097059,40.711166,23.77,23.10
35M,1,midday,11,132003,Magna Main St / 8700 W (WB),FALSE,,-112.100059,40.711156,22.44,21.39
35M,1,midday,12,132004,Magna Main St / 8800 W (WB),FALSE,,-112.101634,40.711131,22.28,19.59
35M,1,midday,13,198113,Magna Library,FALSE,,-112.104864,40.711049,17.26,16.23
35M,1,midday,14,132007,Magna Main St / 9040 W (WB),FALSE,,-112.106928,40.711031,15.21,15.01
35M,1,midday,15,132009,9150 W / Magna Main St (SB),FALSE,27509150,-112.109524,40.710641,24.64,24.22
35M,1,midday,16,132011,9150 W / 2900 S (SB),FALSE,,-112.109442,40.707014,24.51,24.43
35M,1,midday,17,132012,9150 W / 3000 S (SB),FALSE,,-112.109419,40.705766,12.31,10.50
35M,1,midday,18,NA101472,3100 S @ 9196 W,FALSE,,-112.110138,40.703808,23.94,23.34
35M,1,midday,19,NA101437,3500 S @ 8927 W,FALSE,,-112.104484,40.696489,27.79,24.29
35M,1,midday,20,NA101700,3500 S @ 8535 W,FALSE,,-112.095082,40.696446,21.60,17.52
35M,1,midday,21,133029,3500 S / 8400 W (EB),TRUE,35-S84-W,-112.091248,40.696376,17.61,15.14
35M,1,midday,22,101431,3500 S / 8000 W (EB),FALSE,,-112.082761,40.696406,30.11,23.74
35M,1,midday,23,133048,3500 S / 7200 W (EB),FALSE,35-S72-W,-112.064376,40.696412,27.19,24.72
35M,1,midday,24,101401,3500 S / 6400 W (EB),FALSE,,-112.043027,40.696452,20.51,17.30
35M,1,midday,25,101402,3500 S / 5600 W (EB),FALSE,35-S56-W,-112.023298,40.696481,27.55,24.70
35M,1,midday,26,101414,3500 S / 4800 W (EB),FALSE,,-112.004686,40.696494,23.41,19.14
35M,1,midday,27,135271,3500 S / 4000 W (EB),FALSE,35-S40-W,-111.985301,40.696503,14.91,12.77
35M,1,midday,28,101622,3500 S / 3600 W (Curbside EB),FALSE,,-111.976034,40.696456,18.40,14.32
35M,1,midday,29,BB101591,West Valley Central Station (Bay E),FALSE,WVCNTRAX,-111.960099,40.693664,13.46,12.85
35M,1,midday,30,101450,3500 S @ 2223 W,FALSE,,-111.947677,40.696551,19.49,14.74
35M,1,midday,31,136201,3500 S @ 1685 W,FALSE,35-SRDWD,-111.937859,40.696508,26.35,24.08
35M,1,midday,32,101403,3300 S @ 1219 W,FALSE,,-111.926041,40.699323,29.40,26.01
35M,1,midday,33,136200,3300 S @ 889 W,FALSE,,-111.916345,40.699276,14.63,7.19
35M,1,midday,34,BB136023,Millcreek Station (Bay A),TRUE,MILLCREK,-111.897116,40.701104,0.00,0.00
35M,1,off-peak,1,101412,3500 S / 8400 W (WB),TRUE,35-S84-W,-112.090815,40.696619,8.73,8.73
35M,1,off-peak,2,133022,8400 W / 3410 S (NB),FALSE,,-112.091691,40.697648,29.54,29.54
35M,1,off-peak,3,133023,8400 W / Myron Ave (NB),FALSE,,-112.091749,40.700639,29.39,29.39
35M,1,off-peak,4,133005,8400 W / Aleen Ave (NB),FALSE,,-112.091754,40.702261,30.42,29.56
35M,1,off-peak,5,133102,8400 W / 3100 S (NB),FALSE,,-112.091736,40.704635,33.11,33.11
35M,1,off-peak,6,133025,8400 W / Robin St (NB),FALSE,,-112.091721,40.705946,30.64,29.92
35M,1,off-peak,7,133026,8400 W / 2910 S (NB),FALSE,,-112.091721,40.707521,23.10,23.02
35M,1,off-peak,8,133027,8400 W / Western Dr (NB),FALSE,,-112.091731,40.708911,18.04,16.65
35M,1,off-peak,9,198469,Magna Post Office,FALSE,,-112.093729,40.711244,19.90,19.83
35M,1,off-peak,10,198528,Magna Main St / 8590 W (WB),FALSE,27-S84-W,-112.097059,40.711166,25.87,25.32
35M,1,off-peak,11,132003,Magna Main St / 8700 W (WB),FALSE,,-112.100059,40.711156,20.21,17.74
35M,1,off-peak,12,132004,Magna Main St / 8800 W (WB),FALSE,,-112.101634,40.711131,18.72,18.16
35M,1,off-peak,13,198113,Magna Library,FALSE,,-112.104864,40.711049,21.36,21.24
35M,1,off-peak,14,132007,Magna Main St / 9040 W (WB),FALSE,,-112.106928,40.711031,13.49,12.73
35M,1,off-peak,15,132009,9150 W / Magna Main St (SB),FALSE,27509150,-112.109524,40.710641,23.22,22.93
35M,1,off-peak,16,132011,9150 W / 2900 S (SB),FALSE,,-112.109442,40.707014,21.71,20.70
35M,1,off-peak,17,132012,9150 W / 3000 S (SB),FALSE,,-112.109419,40.705766,11.95,10.69
35M,1,off-peak,18,NA101472,3100 S @ 9196 W,FALSE,,-112.110138,40.703808,24.29,23.67
35M,1,off-peak,19,NA101437,3500 S @ 8927 W,FALSE,,-112.104484,40.696489,27.43,25.80
35M,1,off-peak,20,NA101700,3500 S @ 8535 W,FALSE,,-112.095082,40.696446,23.31,17.73
35M,1,off-peak,21,133029,3500 S / 8400 W (EB),TRUE,35-S84-W,-112.091248,40.696376,16.88,14.67
35M,1,off-peak,22,101431,3500 S / 8000 W (EB),FALSE,,-112.082761,40.696406,30.67,25.46
35M,1,off-peak,23,133048,3500 S / 7200 W (EB),FALSE,35-S72-W,-112.064376,40.696412,28.85,25.64
35M,1,off-peak,24,101401,3500 S / 6400 W (EB),FALSE,,-112.043027,40.696452,23.95,21.25
35M,1,off-peak,25,101402,3500 S / 5600 W (EB),FALSE,35-S56-W,-112.023298,40.696481,29.87,25.11
35M,1,off-peak,26,101414,3500 S / 4800 W (EB),FALSE,,-112.004686,40.696494,26.42,21.51
35M,1,off-peak,27,135271,3500 S / 4000 W (EB),FALSE,35-S40-W,-111.985301,40.696503,14.47,12.91
35M,1,off-peak,28,101622,3500 S / 3600 W (Curbside EB),FALSE,,-111.976034,40.696456,20.89,16.76
35M,1,off-peak,29,BB101591,West Valley Central Station (Bay E),FALSE,WVCNTRAX,-111.960099,40.693664,15.17,14.43
35M,1,off-peak,30,101450,3500 S @ 2223 W,FALSE,,-111.947677,40.696551,25.33,19.41
35M,1,off-peak,31,136201,3500 S @ 1685 W,FALSE,35-SRDWD,-111.937859,40.696508,29.08,26.20
35M,1,off-peak,32,101403,3300 S @ 1219 W,FALSE,,-111.926041,40.699323,28.74,25.50
35M,1,off-peak,33,136200,3300 S @ 889 W,FALSE,,-111.916345,40.699276,17.68,6.77
35M,1,off-peak,34,BB136023,Millcreek Station (Bay A),TRUE,MILLCREK,-111.897116,40.701104,0.00,0.00
35M,1,pm peak,21,133029,3500 S / 8400 W (EB),TRUE,35-S84-W,-112.091248,40.696376,17.46,15.03
35M,1,pm peak,22,101431,3500 S / 8000 W (EB),FALSE,,-112.082761,40.696406,29.38,23.99
35M,1,pm peak,23,133048,3500 S / 7200 W (EB),FALSE,35-S72-W,-112.064376,40.696412,24.37,22.36
35M,1,pm peak,24,101401,3500 S / 6400 W (EB),FALSE,,-112.043027,40.696452,20.87,17.67
35M,1,pm peak,25,101402,3500 S / 5600 W (EB),FALSE,35-S56-W,-112.023298,40.696481,24.93,22.47
35M,1,pm peak,26,101414,3500 S / 4800 W (EB),FALSE,,-112.004686,40.696494,18.81,16.01
35M,1,pm peak,27,135271,3500 S / 4000 W (EB),FALSE,35-S40-W,-111.985301,40.696503,10.51,9.17
35M,1,pm peak,28,101622,3500 S / 3600 W (Curbside EB),FALSE,,-111.976034,40.696456,16.08,12.65
35M,1,pm peak,29,BB101591,West Valley Central Station (Bay E),FALSE,WVCNTRAX,-111.960099,40.693664,11.60,11.11
35M,1,pm peak,30,101450,3500 S @ 2223 W,FALSE,,-111.947677,40.696551,17.94,13.49
35M,1,pm peak,31,136201,3500 S @ 1685 W,FALSE,35-SRDWD,-111.937859,40.696508,22.56,19.76
35M,1,pm peak,32,101403,3300 S @ 1219 W,FALSE,,-111.926041,40.699323,21.86,19.04
35M,1,pm peak,33,136200,3300 S @ 889 W,FALSE,,-111.916345,40.699276,13.66,7.57
35M,1,pm peak,34,BB136023,Millcreek Station (Bay A),TRUE,MILLCREK,-111.897116,40.701104,0.00,0.00
11,0,am peak,1,125332,Salt Lake Central Station (Bay A),TRUE,SLCSTATN,-111.909114,40.763076,16.18,6.09
11,0,am peak,2,198274,200 S / 600 W (EB),FALSE,CTGPARK,-111.908917,40.764901,9.72,9.42
11,0,am peak,3,125021,200 S / 300 W (EB),FALSE,,-111.898927,40.764946,13.08,13.08
11,0,am peak,4,NA198398,N/A (stop closed),FALSE,,-111.897138,40.764882,15.00,11.90
11,0,am peak,5,125023,200 S / West Temple (EB),FALSE,,-111.894684,40.764883,12.52,7.07
11,0,am peak,6,125404,200 S / Main St (EB),FALSE,MAIN2--S,-111.891442,40.764917,6.88,5.00
11,0,am peak,7,126513,State St / 150 S (NB),TRUE,185SSTAT,-111.888062,40.76587,9.59,9.14
11,0,am peak,8,118075,1st Ave / State St (EB),FALSE,,-111.887173,40.770486,13.89,12.53
