ROUTE,DIR,period,STOP,StopAbbr,StopName,Timepoint,NodeAbbr,Lon,Lat,Avgmph,Avgmphdwell
2X,0,am peak,1,125213,Salt Lake Central Station (Bay B),TRUE,SLCSTATN,-111.909334,40.76322,12.61,11.81
2X,0,am peak,2,126556,U President's Circle (SB Stop C),FALSE,U.U.PRES,-111.852412,40.764553,7.91,6.84
2X,0,am peak,3,126261,Stadium Station (EB),FALSE,STADIUM,-111.851398,40.760546,12.54,9.10
2X,0,am peak,4,126491,U Social Work Building (EB),FALSE,,-111.846654,40.760138,11.44,10.10
2X,0,am peak,5,101917,U Museum of Fine Arts (EB),FALSE,,-111.841221,40.759314,11.45,9.06
2X,0,am peak,6,126262,U South Campus Station (EB),FALSE,,-111.838228,40.760834,7.20,7.11
2X,0,am peak,7,127130,Mario Capecchi / South Campus (NB),FALSE,,-111.835721,40.76312,23.07,20.38
2X,0,am peak,8,127131,Mario Capecchi Dr / 1900 E (NB),FALSE,,-111.837144,40.768715,11.32,8.15
2X,0,am peak,9,127256,U Medical Center Station (NB),FALSE,MEDCTRNB,-111.839059,40.770173,10.23,9.79
2X,0,am peak,10,118163,Mario Capecchi / North Campus (NB),TRUE,,-111.840466,40.77193,9.85,9.72
2X,0,am peak,11,118159,North Campus / Federal Heights (WB),FALSE,,-111.842451,40.772482,25.08,22.17
2X,0,am peak,12,198438,U Kennecott Building (WB),FALSE,,-111.847413,40.767522,10.50,10.40
2X,0,am peak,13,101522,U President`s Circle (SB Stop A),FALSE,2--SUNIV,-111.852435,40.765678,12.81,9.41
2X,0,am peak,14,198445,Salt Lake Central Station (Arrival),TRUE,94-S20PR,-111.909788,40.763678,0.00,0.00
35M,0,am peak,1,BB136023,Millcreek Station (Bay A),TRUE,MILLCREK,-111.897116,40.701104,16.58,15.62
35M,0,am peak,2,136211,3300 S @ 984 W,FALSE,,-111.919459,40.699565,29.92,27.66
35M,0,am peak,3,101398,3300 S @ 1226 W,FALSE,,-111.926431,40.699538,27.92,24.25
35M,0,am peak,4,136218,3500 S @ 1720 W,FALSE,35-SRDWD,-111.939559,40.696749,19.69,17.90
35M,0,am peak,5,135243,3500 S @ 2040 W,FALSE,,-111.945611,40.696773,12.60,9.77
35M,0,am peak,6,BB101591,West Valley Central Station (Bay E),FALSE,WVCNTRAX,-111.960099,40.693664,13.79,12.68
35M,0,am peak,7,101629,3500 S / 3600 W (Curbside WB),FALSE,,-111.978464,40.696739,14.61,11.21
35M,0,am peak,8,135245,3500 S / 4000 W (WB),FALSE,35-S40-W,-111.985846,40.69673,24.61,22.44
35M,0,am peak,9,134152,3500 S / 4800 W (WB),FALSE,,-112.006412,40.696659,22.53,19.40
35M,0,am peak,10,134040,3500 S / 5600 W (WB),FALSE,,-112.025773,40.696637,26.11,23.94
35M,0,am peak,11,133054,3500 S / 6400 W (WB),FALSE,,-112.045255,40.696599,31.19,26.95
35M,0,am peak,12,101399,3500 S / 7200 W (WB),FALSE,35-S72-W,-112.064573,40.696578,27.43,25.17
35M,0,am peak,13,101400,3500 S / 8000 W (WB),FALSE,,-112.082856,40.696611,25.63,2.69
35M,0,am peak,14,101412,3500 S / 8400 W (WB),TRUE,35-S84-W,-112.090815,40.696619,0.00,0.00
35M,0,midday,1,BB136023,Millcreek Station (Bay A),TRUE,MILLCREK,-111.897116,40.701104,15.20,14.58
35M,0,midday,2,136211,3300 S @ 984 W,FALSE,,-111.919459,40.699565,32.14,28.35
35M,0,midday,3,101398,3300 S @ 1226 W,FALSE,,-111.926431,40.699538,28.05,21.83
35M,0,midday,4,136218,3500 S @ 1720 W,FALSE,35-SRDWD,-111.939559,40.696749,16.78,15.52
35M,0,midday,5,135243,3500 S @ 2040 W,FALSE,,-111.945611,40.696773,13.10,10.30
35M,0,midday,6,BB101591,West Valley Central Station (Bay E),FALSE,WVCNTRAX,-111.960099,40.693664,13.18,12.08
35M,0,midday,7,101629,3500 S / 3600 W (Curbside WB),FALSE,,-111.978464,40.696739,13.93,10.11
35M,0,midday,8,135245,3500 S / 4000 W (WB),FALSE,35-S40-W,-111.985846,40.69673,23.59,21.13
35M,0,midday,9,134152,3500 S / 4800 W (WB),FALSE,,-112.006412,40.696659,22.49,18.60
35M,0,midday,10,134040,3500 S / 5600 W (WB),FALSE,,-112.025773,40.696637,24.35,22.68
35M,0,midday,11,133054,3500 S / 6400 W (WB),FALSE,,-112.045255,40.696599,31.55,26.02
35M,0,midday,12,101399,3500 S / 7200 W (WB),FALSE,35-S72-W,-112.064573,40.696578,27.60,23.79
35M,0,midday,13,101400,3500 S / 8000 W (WB),FALSE,,-112.082856,40.696611,21.57,6.99
35M,0,midday,14,101412,3500 S / 8400 W (WB),TRUE,35-S84-W,-112.090815,40.696619,0.00,0.00
35M,0,midday,15,133022,8400 W / 3410 S (NB),FALSE,,-112.091691,40.697648,18.54,18.53
35M,0,midday,16,133023,8400 W / Myron Ave (NB),FALSE,,-112.091749,40.700639,26.59,26.32
35M,0,midday,17,133005,8400 W / Aleen Ave (NB),FALSE,,-112.091754,40.702261,18.39,17.82
35M,0,midday,18,133102,8400 W / 3100 S (NB),FALSE,,-112.091736,40.704635,29.04,28.96
35M,0,midday,19,133025,8400 W / Robin St (NB),FALSE,,-112.091721,40.705946,28.39,28.14
35M,0,midday,20,133026,8400 W / 2910 S (NB),FALSE,,-112.091721,40.707521,21.42,20.53
35M,0,midday,21,133027,8400 W / Western Dr (NB),FALSE,,-112.091731,40.708911,12.67,11.76
35M,0,midday,22,198469,Magna Post Office,FALSE,,-112.093729,40.711244,17.69,16.89
35M,0,midday,23,198528,Magna Main St / 8590 W (WB),FALSE,27-S84-W,-112.097059,40.711166,23.53,22.84
35M,0,midday,24,132003,Magna Main St / 8700 W (WB),FALSE,,-112.100059,40.711156,20.91,19.84
35M,0,midday,25,132004,Magna Main St / 8800 W (WB),FALSE,,-112.101634,40.711131,19.93,15.61
35M,0,midday,26,198113,Magna Library,FALSE,,-112.104864,40.711049,15.34,14.26
35M,0,midday,27,132007,Magna Main St / 9040 W (WB),FALSE,,-112.106928,40.711031,13.11,12.84
35M,0,midday,28,132009,9150 W / Magna Main St (SB),FALSE,27509150,-112.109524,40.710641,24.04,23.65
35M,0,midday,29,132011,9150 W / 2900 S (SB),FALSE,,-112.109442,40.707014,23.29,22.31
35M,0,midday,30,132012,9150 W / 3000 S (SB),FALSE,,-112.109419,40.705766,10.30,8.47
35M,0,midday,31,NA101472,3100 S @ 9196 W,FALSE,,-112.110138,40.703808,22.76,21.82
35M,0,midday,32,NA101437,3500 S @ 8927 W,FALSE,,-112.104484,40.696489,28.11,27.69
35M,0,midday,33,NA101700,3500 S @ 8535 W,FALSE,,-112.095082,40.696446,9.66,0.76
35M,0,midday,34,133029,3500 S / 8400 W (EB),TRUE,35-S84-W,-112.091248,40.696376,0.00,0.00
35M,0,off-peak,1,BB136023,Millcreek Station (Bay A),TRUE,MILLCREK,-111.897116,40.701104,18.45,17.18
35M,0,off-peak,2,136211,3300 S @ 984 W,FALSE,,-111.919459,40.699565,30.01,26.01
35M,0,off-peak,3,101398,3300 S @ 1226 W,FALSE,,-111.926431,40.699538,30.12,24.42
35M,0,off-peak,4,136218,3500 S @ 1720 W,FALSE,35-SRDWD,-111.939559,40.696749,18.43,16.76
35M,0,off-peak,5,135243,3500 S @ 2040 W,FALSE,,-111.945611,40.696773,15.79,11.39
35M,0,off-peak,6,BB101591,West Valley Central Station (Bay E),FALSE,WVCNTRAX,-111.960099,40.693664,13.08,12.12
35M,0,off-peak,7,101629,3500 S / 3600 W (Curbside WB),FALSE,,-111.978464,40.696739,14.30,11.35
35M,0,off-peak,8,135245,3500 S / 4000 W (WB),FALSE,35-S40-W,-111.985846,40.69673,26.13,23.97
35M,0,off-peak,9,134152,3500 S / 4800 W (WB),FALSE,,-112.006412,40.696659,18.38,15.68
35M,0,off-peak,10,134040,3500 S / 5600 W (WB),FALSE,,-112.025773,40.696637,27.46,24.10
35M,0,off-peak,11,133054,3500 S / 6400 W (WB),FALSE,,-112.045255,40.696599,29.86,26.30
35M,0,off-peak,12,101399,3500 S / 7200 W (WB),FALSE,35-S72-W,-112.064573,40.696578,29.22,26.03
35M,0,off-peak,13,101400,3500 S / 8000 W (WB),FALSE,,-112.082856,40.696611,22.43,9.73
35M,0,off-peak,14,101412,3500 S / 8400 W (WB),TRUE,35-S84-W,-112.090815,40.696619,0.00,0.00
