MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
4,19.0,O601,0,1,3.71,6,10,20,20,13.36,13.39,16.7,16.6,0.02,11.88,11.90,11.90,0.18,13.66,13.84,13.84,0.20,25.54,25.74,25.74,1.0,1.0,1.0,66.78,111.30,178.08,6.0,10.0,16.0
4,20.0,O603,0,0,10.30,6,10,15,15,35.93,35.26,17.2,17.5,48.16,352.61,400.77,400.77,9.84,247.18,257.02,257.02,58.00,599.79,657.79,657.79,3.0,3.0,3.0,247.20,412.00,659.20,18.0,30.0,48.0
4,21.0,O604,0,0,24.38,6,10,30,30,75.25,74.51,19.4,19.6,27.58,126.07,153.65,153.65,8.09,123.67,131.76,131.76,35.67,249.74,285.41,285.41,3.0,3.0,3.0,292.56,487.60,780.16,18.0,30.0,48.0
4,22.0,O606,0,0,10.24,6,10,360,0,33.51,33.56,18.3,18.3,0.00,67.45,67.45,67.45,0.00,0.00,0.00,0.00,0.00,67.45,67.45,67.45,1.0,0.0,1.0,10.24,0.00,10.24,6.0,0.0,6.0
4,23.0,O608,0,0,5.64,6,10,360,720,17.20,17.27,19.7,19.6,0.00,23.97,23.97,23.97,0.00,33.05,33.05,33.05,0.00,57.02,57.02,57.02,1.0,1.0,1.0,5.64,4.70,10.34,6.0,10.0,16.0
4,24.0,O612,0,0,30.88,6,10,15,15,91.12,91.09,20.3,20.3,14.58,325.79,340.37,340.37,9.59,381.53,391.12,391.12,24.17,707.32,731.49,731.49,7.0,7.0,7.0,741.12,1235.20,1976.30,42.0,70.0,112.0
4,25.0,O613,0,0,17.74,6,10,30,60,50.21,50.06,21.2,21.3,9.39,84.65,94.04,94.04,6.02,92.55,98.57,98.57,15.41,177.20,192.61,192.61,2.0,1.0,2.0,212.88,177.40,390.28,12.0,10.0,22.0
4,26.0,O616,0,1,29.23,6,10,46,360,65.44,65.03,26.8,27.0,6.12,19.34,25.46,25.46,2.63,15.67,18.30,18.30,8.75,35.01,43.76,43.76,2.0,1.0,2.0,228.76,48.72,277.47,12.0,10.0,22.0
4,27.0,O625,0,1,21.72,6,10,30,30,66.13,65.03,19.7,20.0,29.12,216.43,245.55,245.55,6.19,152.58,158.77,158.77,35.31,369.01,404.32,404.32,3.0,3.0,3.0,260.64,434.40,695.04,18.0,30.0,48.0
4,28.0,O626,0,0,19.54,6,10,30,60,60.28,59.49,19.4,19.7,3.92,77.42,81.34,81.34,1.77,68.46,70.23,70.23,5.69,145.88,151.57,151.57,3.0,1.0,3.0,234.48,195.40,429.88,18.0,10.0,28.0
4,29.0,O627,0,0,23.78,6,10,30,60,84.29,82.27,16.9,17.3,33.21,233.56,266.77,266.77,3.18,223.17,226.35,226.34,36.39,456.73,493.12,493.11,3.0,2.0,3.0,285.36,237.80,523.16,18.0,20.0,38.0
4,30.0,O628,0,0,12.96,6,10,30,30,49.34,49.58,15.8,15.7,19.57,127.14,146.71,146.71,10.55,115.35,125.90,125.90,30.12,242.49,272.61,272.61,2.0,2.0,2.0,155.52,259.20,414.72,12.0,20.0,32.0
4,31.0,O630,0,0,48.70,6,10,60,60,116.35,116.37,25.1,25.1,17.45,238.42,255.87,255.87,10.77,225.38,236.15,236.15,28.22,463.80,492.02,492.02,2.0,2.0,2.0,292.20,487.00,779.20,12.0,20.0,32.0
4,32.0,O640,0,0,39.44,6,10,30,30,144.01,145.31,16.4,16.3,40.54,502.70,543.24,543.24,7.50,323.57,331.07,331.07,48.04,826.27,874.31,874.31,5.0,5.0,5.0,473.28,788.80,1262.10,30.0,50.0,80.0
4,33.0,O645,0,0,20.32,6,10,30,30,64.13,63.32,19.0,19.3,33.86,307.61,341.47,341.47,3.79,188.75,192.54,192.54,37.65,496.36,534.01,534.01,3.0,3.0,3.0,243.84,406.40,650.24,18.0,30.0,48.0
4,34.0,O650,0,0,7.50,6,10,30,60,27.08,27.13,16.6,16.6,429.12,184.97,614.09,614.09,7.02,19.82,26.84,26.84,436.14,204.79,640.93,640.93,1.0,1.0,1.0,90.00,75.00,165.00,6.0,10.0,16.0
4,35.0,O667,0,1,3.01,6,10,30,30,10.14,10.16,17.8,17.8,1.58,5.37,6.95,6.95,0.52,6.56,7.08,7.08,2.10,11.93,14.03,14.03,1.0,1.0,1.0,36.12,60.20,96.32,6.0,10.0,16.0
