MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
5,97.0,BRT3500S,0,0,28.66,6,10,15,15,81.19,80.09,21.2,21.5,39.67,907.84,947.51,947.51,18.99,835.53,854.52,854.52,58.66,1743.37,1802.03,1802.03,6.0,6.0,6.0,687.84,1146.40,1834.20,36.0,60.0,96.0
6,98.0,S2X,0,0,9.60,6,10,15,0,41.84,41.31,13.8,13.9,0.39,2.20,2.59,2.59,0.00,0.00,0.00,0.00,0.39,2.20,2.59,2.59,3.0,0.0,3.0,230.40,0.00,230.40,18.0,0.0,18.0
6,99.0,S451X,0,1,21.64,6,10,30,0,28.82,28.38,45.1,45.8,0.02,32.12,32.14,32.14,0.00,0.00,0.00,0.00,0.02,32.12,32.14,32.14,1.0,0.0,1.0,259.68,0.00,259.68,6.0,0.0,6.0
6,100.0,S456,0,1,41.23,6,10,360,0,96.59,80.37,25.6,30.8,31.35,16.32,47.67,47.67,0.00,0.00,0.00,0.00,31.35,16.32,47.67,47.67,1.0,0.0,1.0,41.23,0.00,41.23,6.0,0.0,6.0
6,101.0,S472X,0,1,34.11,6,10,30,0,77.25,57.61,26.5,35.5,0.00,16.87,16.87,16.87,0.00,0.00,0.00,0.00,0.00,16.87,16.87,16.87,3.0,0.0,3.0,409.32,0.00,409.32,18.0,0.0,18.0
6,102.0,S473X,0,1,41.86,6,10,30,0,122.82,97.56,20.4,25.7,524.37,54.72,579.09,579.09,0.00,0.00,0.00,0.00,524.37,54.72,579.09,579.09,5.0,0.0,5.0,502.32,0.00,502.32,30.0,0.0,30.0
6,103.0,S902,0,1,41.61,6,10,60,90,94.73,92.81,26.4,26.9,70.71,18.69,89.40,89.40,72.97,23.59,96.56,96.56,143.68,42.28,185.96,185.96,2.0,2.0,2.0,249.66,277.40,527.06,12.0,20.0,32.0
7,104.0,Blue,0,0,38.10,6,10,15,15,102.31,102.31,22.3,22.3,2861.81,5467.94,8329.75,8329.75,1161.63,5608.69,6770.32,6770.32,4023.44,11076.63,15100.07,15100.07,7.0,7.0,7.0,914.40,1524.00,2438.40,42.0,70.0,112.0
7,105.0,Green,0,0,28.66,6,10,15,15,92.29,92.29,18.6,18.6,2383.74,6537.87,8921.61,8921.61,1059.26,7760.31,8819.57,8819.57,3443.00,14298.18,17741.18,17741.18,7.0,7.0,7.0,687.84,1146.40,1834.20,42.0,70.0,112.0
7,106.0,Red,0,0,46.48,6,10,15,15,118.29,118.29,23.6,23.6,4918.85,10335.38,15254.23,15254.23,889.35,8298.05,9187.40,9187.40,5808.20,18633.43,24441.63,24441.63,8.0,8.0,8.0,1115.50,1859.20,2974.70,48.0,80.0,128.0
7,107.0,Sline,0,0,4.28,6,10,15,15,21.75,21.75,11.8,11.8,38.56,641.80,680.36,680.36,7.28,659.44,666.72,666.72,45.84,1301.24,1347.08,1347.08,2.0,2.0,2.0,102.72,171.20,273.92,12.0,20.0,32.0
8,108.0,RCRT_OGPN,0,0,162.20,6,10,30,60,251.11,251.11,38.8,38.8,10472.69,4143.81,14616.50,14616.50,2901.11,2960.99,5862.10,5862.10,13373.80,7104.80,20478.60,20478.60,9.0,5.0,9.0,1946.40,1622.00,3568.40,54.0,50.0,104.0
9,109.0,BRT_ProOrm,0,0,22.92,6,10,6,10,82.84,83.01,16.6,16.6,1449.22,6971.77,8420.99,8420.99,157.45,3133.93,3291.38,3291.38,1606.67,10105.70,11712.37,11712.37,14.0,9.0,14.0,1375.20,1375.20,2750.40,84.0,90.0,174.0
